Quantity,ComponentsNeeded,Price,Link,Remarque
1,5m Addressable RGB LED Strip | 30/M - WS2812 - 5V DC | Black PCB ,$12.94 ,https://www.aliexpress.com/item/1005008683402669.html,
3,1K Potentiometer with AG2 White Cap,$0.63 x 3,https://www.aliexpress.com/item/1005005017361895.html,
1,5V Pro Mini V2 Board 16MHZ 328P,$7.60 ,https://www.aliexpress.com/item/1005007419203228.html,
1,FIT0416 USB to TTL Serial Cable,$7.25 ,https://www.aliexpress.com/item/1005006096228917.html,(If you already have one then you can skip it)
1,10 pieces of 2.1mm 3Pin DC Power Jack Socket Female Connector PCB Mount Terminal,$6.07 ,https://www.aliexpress.com/item/1005010738205549.html,(You only need 1 but the listing sells them in bulk)
1,Power Supply Adapter 3A 5V,$9.11 ,https://www.aliexpress.com/item/1005007264933490.html,
1,High Frequency Electrolytic Capacitor 25V1000UF 10PCS,$0.86 ,https://www.aliexpress.com/item/1005007322240823.html,(You only need 1 but the listing sells them in bulk)
1,100PCS Resistor 470 ohm,$0.56 ,https://www.aliexpress.com/item/1005002489867848.html,(You only need 1 but the listing sells them in bulk)
1,1x40 2.54mm Pitch Male Pin Header Strip Straight Connector Copper for PCB Board DIY Soldering,$1.97 ,https://www.aliexpress.com/item/1005011807054197.html,(You only need 3 pins so you have to separate them)
1,10pcs 2.54mm Pitch Single Row Female 3 pins,$6.92 ,https://www.aliexpress.com/item/1005001418544370.html,
